,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
75,3.8313485622406005,0.12283484468669535,0.13500094413757324,0.018529487457341367,gini,sqrt,2,2,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.897196261682243,0.9439252336448598,0.9252336448598131,0.881619937694704,0.9595015576323987,0.9214953271028037,0.028782079657199,139
76,7.92327995300293,0.7169035591334585,0.13131537437438964,0.012781887930951513,gini,sqrt,2,2,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.897196261682243,0.9439252336448598,0.9345794392523364,0.897196261682243,0.9595015576323987,0.9264797507788162,0.025200932605802726,98
77,14.571456813812256,0.6948234831492298,0.17087321281433104,0.015808216068780055,gini,sqrt,2,2,400,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 400}",0.897196261682243,0.9439252336448598,0.9345794392523364,0.9003115264797508,0.9657320872274143,0.928348909657321,0.026212690302757174,85
78,29.15325927734375,1.704472562505322,0.24677271842956544,0.0274172340420322,gini,sqrt,2,2,800,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 800}",0.8940809968847352,0.9439252336448598,0.9345794392523364,0.9003115264797508,0.9657320872274143,0.9277258566978194,0.02697178918618488,89
79,58.062044048309325,1.8941060658292008,0.3812069892883301,0.025586939440574795,gini,sqrt,2,2,1600,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 1600}",0.8940809968847352,0.9439252336448598,0.9314641744548287,0.9003115264797508,0.9626168224299065,0.9264797507788163,0.025959709228660012,96
80,3.8763833045959473,0.1892298695533465,0.12697486877441405,0.006468477068040338,gini,sqrt,2,5,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9003115264797508,0.9470404984423676,0.9345794392523364,0.8785046728971962,0.9626168224299065,0.9246105919003116,0.03086471296324196,103
81,8.21865348815918,0.6948302769738509,0.15594325065612794,0.018234681180664455,gini,sqrt,2,5,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9003115264797508,0.9439252336448598,0.9345794392523364,0.8847352024922118,0.9626168224299065,0.9252336448598131,0.02861977340275602,101
82,15.165878963470458,0.6367705388431755,0.18175191879272462,0.023634048038257256,gini,sqrt,2,5,400,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 400}",0.897196261682243,0.9439252336448598,0.9314641744548287,0.8847352024922118,0.9626168224299065,0.92398753894081,0.0289970748366856,104
83,29.172903728485107,1.8237721243398042,0.24663195610046387,0.01684630231284595,gini,sqrt,2,5,800,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 800}",0.8940809968847352,0.9439252336448598,0.9283489096573209,0.8878504672897196,0.9626168224299065,0.9233644859813083,0.028660436137071654,119
84,57.37523965835571,1.2781017711349438,0.3505221366882324,0.037560167662445444,gini,sqrt,2,5,1600,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 1600}",0.8940809968847352,0.9439252336448598,0.9252336448598131,0.8878504672897196,0.9626168224299065,0.9227414330218068,0.028579052812908953,126
85,3.877363443374634,0.2016725190448989,0.1306699752807617,0.007144354593512797,gini,sqrt,2,10,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8940809968847352,0.9439252336448598,0.9252336448598131,0.8847352024922118,0.9595015576323987,0.9214953271028037,0.02851105592186306,139
86,7.719599390029908,0.6229351315239714,0.15887465476989746,0.02244555258131992,gini,sqrt,2,10,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.8909657320872274,0.9439252336448598,0.9158878504672897,0.8847352024922118,0.9626168224299065,0.9196261682242991,0.02997137313596435,161
87,14.45469069480896,0.7317851688793898,0.17885293960571289,0.014491631298477043,gini,sqrt,2,10,400,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 400}",0.897196261682243,0.9439252336448598,0.9190031152647975,0.8847352024922118,0.9626168224299065,0.9214953271028037,0.028782079657199,139
88,29.236281204223634,1.3330249364661384,0.23948197364807128,0.011188922696786384,gini,sqrt,2,10,800,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}",0.8909657320872274,0.9439252336448598,0.9221183800623053,0.8847352024922118,0.9626168224299065,0.9208722741433022,0.029919519510387464,149
89,56.578366899490355,2.1967129753477397,0.3822213649749756,0.011627794373848232,gini,sqrt,2,10,1600,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1600}",0.8909657320872274,0.9439252336448598,0.9190031152647975,0.8847352024922118,0.9626168224299065,0.9202492211838006,0.029919519510387464,156
90,3.4232183933258056,0.1601799542844784,0.13773584365844727,0.017684214953092692,gini,sqrt,4,2,100,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.9003115264797508,0.9376947040498442,0.9345794392523364,0.881619937694704,0.956386292834891,0.9221183800623052,0.0271582488694123,131
91,6.734125185012817,0.3963878408446376,0.13902792930603028,0.015200627240232766,gini,sqrt,4,2,200,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.897196261682243,0.9376947040498442,0.9283489096573209,0.8847352024922118,0.956386292834891,0.9208722741433022,0.02633089920138996,149
92,12.932502746582031,0.8984860869550291,0.17648663520812988,0.01941323954031912,gini,sqrt,4,2,400,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 400}",0.9003115264797508,0.9439252336448598,0.9283489096573209,0.8847352024922118,0.9532710280373832,0.9221183800623054,0.02591480915026221,129
93,26.112885093688966,1.0964042866957664,0.23862695693969727,0.03350774909276824,gini,sqrt,4,2,800,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 800}",0.9003115264797508,0.940809968847352,0.9252336448598131,0.8847352024922118,0.9532710280373832,0.9208722741433022,0.025277835233770463,149
